email,full_name,subteam,day,start_time,end_time,room,zoom_url,title,description,speaker
xmcpherson@yahoo.com,Brandon Cantu,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
paul20@hotmail.com,Robert Carney,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
stevejohnson@gmail.com,Sarah Williams,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
wilsonjaclyn@yahoo.com,Lisa Dean,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
baileyjesus@yahoo.com,William Robinson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lisa26@yahoo.com,Christopher Perry,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
nicole95@gmail.com,Edward Gibbs,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
maria45@hotmail.com,Kristin Lopez,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
cathy63@yahoo.com,Mr. Aaron Wilkins,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
williamhurley@gmail.com,Joseph Hancock,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
flee@yahoo.com,Danielle Tate,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
robertmurphy@hotmail.com,Michael Cook,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
mindy42@gmail.com,Matthew Henry,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
cmaldonado@gmail.com,Michael Murray,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
brian64@gmail.com,Sandra Peterson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
connorwashington@gmail.com,Justin Peters,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
johnsonryan@gmail.com,Michael Smith,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
ycobb@hotmail.com,Erica Dawson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jadejohnson@gmail.com,Anne Meyer,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
murillocarol@yahoo.com,Dr. John Smith,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
john98@gmail.com,John Crawford,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
davidsoncory@hotmail.com,Jacqueline Smith,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
drangel@yahoo.com,Scott Smith,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
clarklaura@yahoo.com,Leslie Sanchez,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
slopez@hotmail.com,Joshua Reyes,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
amyhenson@hotmail.com,Jesse Fischer,security,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
kaylamitchell@hotmail.com,Paul Ford,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
njohnson@yahoo.com,Mark Joyce,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
joseph31@yahoo.com,Robert Baldwin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
sarah54@yahoo.com,Danielle Grant,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
fosteramy@gmail.com,Robert Dillon,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
sdavis@gmail.com,Karen Butler,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rmyers@hotmail.com,Theresa Rodriguez,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jwade@gmail.com,Tonya Boyd,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
stephenswanda@gmail.com,Lisa Sullivan,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
kristinewhite@yahoo.com,Terry Miller,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
krista02@yahoo.com,Bryan Rubio,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
mariathompson@hotmail.com,Jennifer Cameron,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
davidgregory@yahoo.com,Stacey Farrell,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
pierceangela@gmail.com,Adam Jones,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
nelsonregina@hotmail.com,Roger Williams,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
andrea52@yahoo.com,Kara Humphrey,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
matthew16@hotmail.com,Robyn Brewer,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
marialopez@yahoo.com,Morgan Lewis,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
crystal06@yahoo.com,Bonnie Bauer,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
colleen11@yahoo.com,John Wade,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rebecca85@hotmail.com,Chelsey Hubbard,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
fmurphy@gmail.com,Susan Adams,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lindseyjackson@yahoo.com,Kent Collins,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
dwayne09@yahoo.com,Michelle Wright,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
allennatalie@hotmail.com,Pamela Bishop,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
paul85@hotmail.com,Mark Robinson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
angela53@hotmail.com,John Nelson,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
ryan55@hotmail.com,Jennifer Meyers,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
christopherdunn@yahoo.com,David Mercado,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
anthony07@gmail.com,Kyle Kirby,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
matthew77@hotmail.com,Molly Taylor,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lisapearson@gmail.com,Dalton Martin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
brooke22@yahoo.com,Michael Wright,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jenniferdavis@yahoo.com,Carolyn Baker,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
ericgreen@gmail.com,Cody Bradford,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
nicole98@gmail.com,Charles Harrison,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
matthew28@gmail.com,Laura Riley,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lauren58@hotmail.com,Matthew Dunlap,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
melanieyoung@gmail.com,Autumn Norton,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
delacruztina@hotmail.com,Lori Schultz,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
bowmanwhitney@yahoo.com,Brenda Park,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
ellismark@yahoo.com,Kristy Reeves,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
stephenwebb@hotmail.com,Andrew Mcmahon,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
matthewwest@hotmail.com,Shawn Meyer,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
bradley35@hotmail.com,Brandon Park,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
brownryan@yahoo.com,Jennifer Lynch,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jrogers@hotmail.com,Tina Jenkins,security,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
brian96@gmail.com,James Lewis,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
orodriguez@gmail.com,James Johnson,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
aaronvargas@hotmail.com,Katie Smith,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
melinda72@yahoo.com,Robin Rivera,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
twhite@gmail.com,Carl Walton,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
qberry@yahoo.com,Xavier Duran,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jnelson@hotmail.com,Jennifer Sutton,security,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rhondalewis@gmail.com,Michelle Gardner,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
joefarley@yahoo.com,Marie Lewis,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
vromero@yahoo.com,Jeffery Monroe,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rbarton@gmail.com,Samantha Orr,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
wadesamuel@gmail.com,Cory Trujillo,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
thomas67@gmail.com,Tracy Martin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
onealrita@hotmail.com,Laura Lopez,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
qcameron@hotmail.com,Kyle Jimenez,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
mikeward@gmail.com,Amanda Salazar,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
fbauer@hotmail.com,Tyler Hughes,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
bcombs@gmail.com,Denise Zamora,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
tabithamorton@gmail.com,Kathleen Kramer,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
deleonshannon@yahoo.com,Steven Logan,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
marymartinez@gmail.com,Amy Peck,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rblack@hotmail.com,Stephanie Griffin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
hdavis@hotmail.com,Garrett Nelson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lopezsamuel@hotmail.com,Nicholas Johnson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
davisjasmine@yahoo.com,Russell Lyons,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
arthur62@gmail.com,Steven Moreno,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
andreawolfe@gmail.com,Emily Hill,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jameswest@gmail.com,Andrew Malone,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rhondawilliams@yahoo.com,Janice Cooper,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
allison15@gmail.com,Michael Wise,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
pjohnson@yahoo.com,Amanda Bradford,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
tayloradams@gmail.com,Kristen Franklin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
perezdawn@yahoo.com,Cindy Becker,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
halltamara@gmail.com,Evan Mays,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
tmiller@hotmail.com,Paul Green,logistics,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
sharon50@yahoo.com,James Daniels,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
bairdann@yahoo.com,Kevin Lin,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
wfischer@gmail.com,Brian Wilson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
meganmejia@gmail.com,Morgan Harris,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
huertadiane@yahoo.com,Jennifer Anderson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lanesusan@hotmail.com,Stephen Padilla,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
fmaldonado@gmail.com,Michelle Brown,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
dwilliams@hotmail.com,Brittany Wood,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
david47@hotmail.com,Julia Holland,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
delacruzkristen@gmail.com,Christopher Huff,security,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
sbailey@yahoo.com,Heidi Richardson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
michael55@gmail.com,Shane Love,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
johnmacias@gmail.com,James Garcia,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
christinekramer@hotmail.com,Megan Torres,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
liashley@gmail.com,Richard Torres,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
lisa82@gmail.com,Heather Harrington,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
michaelmason@yahoo.com,Jill Dunn,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
wilkinsonwilliam@gmail.com,Dawn Craig,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
leonardrobin@gmail.com,Michael Nguyen,finance,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
wendy33@hotmail.com,April Alexander,security,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
